PERIODE;NO_UA;REGION;SEPM;THO;PRU;PIN;PEU;BOP;BOJ;ERS;AUF;TOTAL;LIEN_WEB;HYPERLIEN;UA_TXT
2008-2013;01151;01;52500;5900;0;200;32600;19600;8200;20400;600;140000;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/FIC_01151.pdf;011-51
2008-2013;01152;01;41200;7200;0;100;16400;9200;8000;19200;6900;108200;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/FIC_01152.pdf;011-52
2008-2013;01251;01;63500;9400;0;100;7400;10600;3700;5200;0;99900;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/FIC_01251.pdf;012-51
2008-2013;01252;01;75900;1700;0;0;3300;12100;1800;2300;0;97100;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/FIC_01252.pdf;012-52
2008-2013;01253;01;194700;2300;0;0;17300;32200;4600;7000;0;258100;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/FIC_01253.pdf;012-53
2008-2013;01254;01;113600;4100;0;100;12400;19300;2700;3000;0;155200;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R01/FIC_01254.pdf;012-54
2008-2013;02251;02;379200;0;0;100;106600;129100;3500;0;600;619100;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/FIC_02251.pdf;022-51
2008-2013;02351;02;219300;0;0;100;42000;81800;6400;0;500;350100;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/FIC_02351.pdf;023-51
2008-2013;02352;02;782800;100;0;200;77300;159900;9200;0;1500;1031000;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/FIC_02352.pdf;023-52
2008-2013;02451;02;722000;0;0;0;31000;116800;4700;0;300;874800;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/FIC_02451.pdf;024-51
2008-2013;02452;02;717600;0;0;0;31000;96900;0;0;0;845500;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/FIC_02452.pdf;024-52
2008-2013;02551;02;2087700;0;0;0;152900;235800;0;0;0;2476400;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/;https://diffusion.mffp.gouv.qc.ca/diffusion/fec/documents_passes/Possibilites_forestieres/2008-2013/R02/FIC_02551.pdf;025-51
